NANYANG GIRLS' HIGH SCHOOL,1.331,103.8026,3
RAFFLES GIRLS' SCHOOL (SECONDARY),1.3124,103.8291,3
RAFFLES INSTITUTION,1.345712,103.8436823,3
HWA CHONG INSTITUTION,1.3264,103.8069,3
METHODIST GIRLS' SCHOOL (SECONDARY),1.3336,103.7828,3
CHIJ ST. NICHOLAS GIRLS' SCHOOL,1.3752,103.8344,3
DUNMAN HIGH SCHOOL,1.2981,103.8829,3
ANGLO-CHINESE SCHOOL (INDEPENDENT),1.3016,103.7805,3
NATIONAL JUNIOR COLLEGE,1.3297,103.8053,3
CEDAR GIRLS' SECONDARY SCHOOL,1.3347,103.875,3
ST. JOSEPH'S INSTITUTION,1.3238,103.8293,3
CATHOLIC HIGH SCHOOL,1.3556,103.8451,3
SINGAPORE CHINESE GIRLS' SCHOOL,1.3207,103.8269,3
VICTORIA SCHOOL,1.3085,103.9261,3
RIVER VALLEY HIGH SCHOOL,1.3449,103.7085,3
PAYA LEBAR METHODIST GIRLS' SCHOOL (SECONDARY),1.3513,103.8849,3
TEMASEK JUNIOR COLLEGE,1.3193,103.9349,3
ST. ANDREW'S SECONDARY SCHOOL,1.3317,103.8659,3
ANDERSON SECONDARY SCHOOL,1.3747,103.8509,3
BUKIT PANJANG GOVT. HIGH SCHOOL,1.3817,103.7394,3
CHIJ SECONDARY (TOA PAYOH),1.3317,103.8425,3
NAN HUA HIGH SCHOOL,1.3079,103.7699,3
ANGLO-CHINESE SCHOOL (BARKER ROAD),1.3196,103.8362,3
CRESCENT GIRLS' SCHOOL,1.2941,103.816,3
FAIRFIELD METHODIST SCHOOL (SECONDARY),1.3008,103.7842,3
NAN CHIAU HIGH SCHOOL,1.3897,103.8892,3
CHUNG CHENG HIGH SCHOOL (MAIN),1.3045,103.8908,3
ST. MARGARET'S SECONDARY SCHOOL,1.3196,103.8103,3
SWISS COTTAGE SECONDARY SCHOOL,1.3638,103.7507,3
ANGLICAN HIGH SCHOOL,1.3306,103.9422,3
CHUNG CHENG HIGH SCHOOL (YISHUN),1.4193,103.8382,3
COMMONWEALTH SECONDARY SCHOOL,1.3186,103.7454,3
NGEE ANN SECONDARY SCHOOL,1.3538,103.9567,3
MARIS STELLA HIGH SCHOOL,1.3401,103.8781,3
YISHUN TOWN SECONDARY SCHOOL,1.4321,103.8375,3
