Admiralty Primary School,1.4427,103.7995,99
Ahmad Ibrahim Primary School,1.4333,103.8321,11
Ai Tong School,1.3603,103.8321,91
Alexandra Primary School,1.2913,103.8233,80
Anchor Green Primary School,1.3913,103.8863,47
Anderson Primary School,1.3838,103.8414,83
Anglo-Chinese School (Junior),1.3098,103.8409,81
Anglo-Chinese School (Primary),1.3182,103.8357,16
Angsana Primary School,1.3482,103.9512,91
Ang Mo Kio Primary School,1.3697,103.8395,11
Balestier Hill Primary School,1.3265,103.8445,6
Beacon Primary School,1.3843,103.7731,11
Bedok Green Primary School,1.3241,103.9372,28
Bendemeer Primary School,1.3215,103.8657,46
Blangah Rise Primary School,1.2762,103.8092,92
Boon Lay Garden Primary School,1.3433,103.7135,84
Bukit Panjang Primary School,1.3739,103.7693,76
Bukit Timah Primary School,1.3371,103.7668,49
Bukit View Primary School,1.3464,103.7538,80
Canberra Primary School,1.4514,103.8148,53
Canossa Convent Primary School,1.3261,103.8828,53
Cantonment Primary School,1.2751,103.8403,7
Casuarina Primary School,1.3722,103.9574,55
Catholic High School (Primary),1.3556,103.8451,70
Cedar Primary School,1.335,103.8755,41
Changkat Primary School,1.3406,103.9517,91
CHIJ (Katong) Primary,1.3069,103.9108,99
CHIJ (Kellock),1.3011,103.8009,50
CHIJ Our Lady of Good Counsel,1.3578,103.8634,25
CHIJ Our Lady of the Nativity,1.3728,103.8982,3
CHIJ Our Lady Queen of Peace,1.367,103.7675,23
CHIJ Primary (Toa Payoh),1.3334,103.8433,91
CHIJ St. Nicholas Girls' School,1.3752,103.8344,33
Chongfu School,1.4387,103.8401,59
Chongzheng Primary School,1.351,103.9517,60
Chua Chu Kang Primary School,1.3773,103.7418,39
Clementi Primary School,1.3163,103.7635,18
Compassvale Primary School,1.3951,103.8981,87
Concord Primary School,1.3806,103.7366,3
Coral Primary School,1.3678,103.9507,18
Corporation Primary School,1.3507,103.7076,35
Da Qiao Primary School,1.3718,103.8584,77
Damai Primary School,1.3361,103.9202,92
Dazhong Primary School,1.3589,103.749,78
De La Salle School,1.394,103.7439,37
East Coast Primary School,1.3293,103.9189,47
East Spring Primary School,1.3537,103.9619,38
East View Primary School,1.3467,103.9391,69
Edgefield Primary School,1.3999,103.9083,65
Elias Park Primary School,1.3745,103.9458,45
Endeavour Primary School,1.4549,103.8174,38
Eunos Primary School,1.3242,103.9054,74
Evergreen Primary School,1.4442,103.7943,97
Fairfield Methodist School (Primary),1.3002,103.7847,48
Farrer Park Primary School,1.3119,103.8511,19
Fengshan Primary School,1.3309,103.9319,45
Fernvale Primary School,1.3898,103.8735,32
First Toa Payoh Primary School,1.3399,103.8562,51
Frontier Primary School,1.3371,103.6989,79
Fuchun Primary School,1.4293,103.7781,89
Fuhua Primary School,1.3359,103.7367,96
Gan Eng Seng Primary School,1.2867,103.8158,31
Geylang Methodist School (Primary),1.3177,103.8844,55
Gongshang Primary School,1.3574,103.9502,8
Greendale Primary School,1.3967,103.912,46
Greenridge Primary School,1.3865,103.7676,87
Greenwood Primary School,1.4404,103.8042,68
Guangyang Primary School,1.3454,103.8506,2
Haig Girls' School,1.3112,103.9036,23
Holy Innocents' Primary School,1.376,103.8573,73
Henry Park Primary School,1.3176,103.784,98
Hong Wen School,1.3212,103.8572,46
Horizon Primary School,1.3993,103.9138,53
Hougang Primary School,1.3781,103.8815,37
Huamin Primary School,1.4267,103.8432,47
Innova Primary School,1.4292,103.7898,10
Jiemin Primary School,1.4272,103.8299,30
Jing Shan Primary School,1.3722,103.8524,39
Junyuan Primary School,1.3483,103.9393,9
Jurong Primary School,1.348,103.7328,82
Jurong West Primary School,1.3388,103.6985,27
Juying Primary School,1.3397,103.6871,11
Keming Primary School,1.345,103.757,38
Kheng Cheng School,1.3374,103.8481,73
Kong Hwa School,1.3115,103.8877,81
Kranji Primary School,1.3941,103.748,90
Kuo Chuan Presbyterian Primary School,1.349,103.8543,37
Lakeside Primary School,1.3383,103.7171,64
Lianhua Primary School,1.3532,103.7543,100
Loyang Primary School,1.3705,103.9564,12
MacPherson Primary School,1.3254,103.8818,86
Maha Bodhi School,1.329,103.9014,84
Maris Stella High School,1.3401,103.8781,36
Marsiling Primary School,1.4345,103.7725,78
Marymount Convent School,1.3407,103.8393,78
Mayflower Primary School,1.3772,103.843,71
Mee Toh School,1.3954,103.9088,25
Meridian Primary School,1.3767,103.9356,28
Methodist Girls' School (Primary),1.3336,103.7828,96
Montfort Junior School,1.3735,103.8881,75
