NANYANG GIRLS' HIGH SCHOOL,1.331,103.8026,18
RAFFLES GIRLS' SCHOOL (SECONDARY),1.3124,103.8291,39
RAFFLES INSTITUTION,1.345712,103.8436823,11
HWA CHONG INSTITUTION,1.3264,103.8069,28
METHODIST GIRLS' SCHOOL (SECONDARY),1.3336,103.7828,46
CHIJ ST. NICHOLAS GIRLS' SCHOOL,1.3752,103.8344,77
DUNMAN HIGH SCHOOL,1.2981,103.8829,82
ANGLO-CHINESE SCHOOL (INDEPENDENT),1.3016,103.7805,20
NATIONAL JUNIOR COLLEGE,1.3297,103.8053,8
CEDAR GIRLS' SECONDARY SCHOOL,1.3347,103.875,34
ST. JOSEPH'S INSTITUTION,1.3238,103.8293,37
CATHOLIC HIGH SCHOOL,1.3556,103.8451,77
SINGAPORE CHINESE GIRLS' SCHOOL,1.3207,103.8269,41
VICTORIA SCHOOL,1.3085,103.9261,53
RIVER VALLEY HIGH SCHOOL,1.3449,103.7085,80
PAYA LEBAR METHODIST GIRLS' SCHOOL (SECONDARY),1.3513,103.8849,80
TEMASEK JUNIOR COLLEGE,1.3193,103.9349,88
ST. ANDREW'S SECONDARY SCHOOL,1.3317,103.8659,64
ANDERSON SECONDARY SCHOOL,1.3747,103.8509,62
BUKIT PANJANG GOVT. HIGH SCHOOL,1.3817,103.7394,100
CHIJ SECONDARY (TOA PAYOH),1.3317,103.8425,45
NAN HUA HIGH SCHOOL,1.3079,103.7699,36
ANGLO-CHINESE SCHOOL (BARKER ROAD),1.3196,103.8362,67
CRESCENT GIRLS' SCHOOL,1.2941,103.816,73
FAIRFIELD METHODIST SCHOOL (SECONDARY),1.3008,103.7842,73
NAN CHIAU HIGH SCHOOL,1.3897,103.8892,53
CHUNG CHENG HIGH SCHOOL (MAIN),1.3045,103.8908,52
ST. MARGARET'S SECONDARY SCHOOL,1.3196,103.8103,65
SWISS COTTAGE SECONDARY SCHOOL,1.3638,103.7507,46
ANGLICAN HIGH SCHOOL,1.3306,103.9422,1
CHUNG CHENG HIGH SCHOOL (YISHUN),1.4193,103.8382,95
COMMONWEALTH SECONDARY SCHOOL,1.3186,103.7454,20
NGEE ANN SECONDARY SCHOOL,1.3538,103.9567,9
MARIS STELLA HIGH SCHOOL,1.3401,103.8781,96
YISHUN TOWN SECONDARY SCHOOL,1.4321,103.8375,3
CHIJ ST. THERESA'S CONVENT,1.2763,103.823,88
XINMIN SECONDARY SCHOOL,1.372,103.8838,16
FUHUA SECONDARY SCHOOL,1.3474,103.7261,89
ST. PATRICK'S SCHOOL,1.3099,103.9171,77
TANJONG KATONG SECONDARY SCHOOL,1.308,103.8983,55
ZHONGHUA SECONDARY SCHOOL,1.3495,103.8689,99
CHIJ ST. JOSEPH'S CONVENT,1.3911,103.9022,52
KUO CHUAN PRESBYTERIAN SECONDARY SCHOOL,1.3498,103.8538,28
PRESBYTERIAN HIGH SCHOOL,1.3814,103.8432,57
RIVERSIDE SECONDARY SCHOOL,1.4405,103.7881,50
TEMASEK SECONDARY SCHOOL,1.3168,103.9472,51
CLEMENTI TOWN SECONDARY SCHOOL,1.3161,103.7614,64
